Asset_ID,Ticker,Trades,Invested_USD,Current_Value_USD,PnL_USD,PnL_Percent,Units_Held,Timestamp
3030,ID_3030,3,573.0,561.54,-11.46,-2.0,5.402502,2026-03-05 10:30:15
2035,XLON:GLEN,3,335.0,421.72,86.72,25.89,59.437352,2026-03-05 10:30:15
100000,BTC,4,312.86,252.72,-60.14,-19.22,0.003453,2026-03-05 10:30:15
7078,XLON:VOD,2,160.0,252.61,89.0,55.62,167.503757,2026-03-05 10:30:15
2019,ID_2019,2,178.5,233.99,55.49,31.09,36.077868,2026-03-05 10:30:15
2072,XLON:RR.,1,210.0,232.01,22.01,10.48,12.697237,2026-03-05 10:30:15
2043,XLON:IMB,3,115.0,223.38,101.46,88.23,5.139917,2026-03-05 10:30:15
2050,XLON:LLOY,2,90.0,218.02,122.21,135.79,165.005368,2026-03-05 10:30:15
2057,XLON:NG.,4,145.0,205.17,50.31,34.7,11.229057,2026-03-05 10:30:15
2077,XLON:SBRY,4,145.0,202.59,47.6,32.83,43.400798,2026-03-05 10:30:15
2014,ID_2014,1,115.0,191.22,76.22,66.28,3.184681,2026-03-05 10:30:15
2047,ID_2047,1,150.0,186.48,36.48,24.32,40.075624,2026-03-05 10:30:15
2704,ID_2704,1,150.0,180.89,30.89,20.59,16.421103,2026-03-05 10:30:15
2171,ID_2171,3,115.0,163.36,41.24,35.86,3.962033,2026-03-05 10:30:15
2695,ID_2695,4,135.0,162.42,18.33,13.58,26.641396,2026-03-05 10:30:15
2085,ID_2085,1,97.86,161.09,58.51,59.79,4.49,2026-03-05 10:30:15
2064,ID_2064,2,145.0,147.42,-7.14,-4.92,1.916127,2026-03-05 10:30:15
2122,ID_2122,1,99.91,125.14,25.23,25.25,35.102684,2026-03-05 10:30:15
2094,ID_2094,1,76.63,117.14,40.51,52.86,6.350238,2026-03-05 10:30:15
2029,ID_2029,1,150.0,111.55,-38.45,-25.63,5.435647,2026-03-05 10:30:15
1034,ID_1034,1,79.96,95.55,15.59,19.5,1.896633,2026-03-05 10:30:15
2135,ID_2135,1,100.0,94.33,-5.67,-5.67,8.055896,2026-03-05 10:30:15
2088,ID_2088,4,165.0,89.69,-87.75,-53.18,18.712043,2026-03-05 10:30:15
2694,ID_2694,2,111.79,89.1,-22.69,-20.3,122.900946,2026-03-05 10:30:15
1462,ID_1462,1,39.09,69.88,30.8,78.79,0.873641,2026-03-05 10:30:15
4255,ID_4255,1,79.86,69.29,-10.57,-13.24,0.767828,2026-03-05 10:30:15
6885,ID_6885,1,46.37,67.24,20.87,45.01,6.798809,2026-03-05 10:30:15
1043,ID_1043,1,50.0,54.98,4.98,9.96,0.337108,2026-03-05 10:30:15
9427,ID_9427,1,60.0,49.41,-10.59,-17.65,1.143946,2026-03-05 10:30:15
6452,ID_6452,1,25.0,34.41,9.41,37.64,1.404494,2026-03-05 10:30:15
9085,ID_9085,1,18.57,28.11,9.54,51.37,0.389302,2026-03-05 10:30:15
5604,ID_5604,2,28.2,27.94,-0.25,-0.89,0.31352,2026-03-05 10:30:15
9450,ID_9450,2,35.0,27.79,-7.21,-20.6,4.117299,2026-03-05 10:30:15
13582,ID_13582,3,45.0,25.13,-19.86,-44.13,1.191484,2026-03-05 10:30:15
8790,ID_8790,2,35.0,24.98,-10.02,-28.63,0.484649,2026-03-05 10:30:15
1832,ID_1832,1,25.0,23.89,-1.11,-4.44,0.1192,2026-03-05 10:30:15
6916,ID_6916,1,25.0,23.15,-1.85,-7.4,0.3435,2026-03-05 10:30:15
1111,ID_1111,1,25.0,23.0,-2.0,-8.0,0.056637,2026-03-05 10:30:15
4148,ID_4148,1,25.0,22.56,-2.44,-9.76,0.175907,2026-03-05 10:30:15
4409,ID_4409,1,25.0,21.66,-3.34,-13.36,0.221926,2026-03-05 10:30:15
7996,ID_7996,2,35.0,19.51,-15.49,-44.26,0.958037,2026-03-05 10:30:15
